fileobject_id,tag,text,attrib,new_file,file_offset,fs_offset,img_offset,len,type,changed_file,deleted_file,changed_property,modified_file,uncompressed_len,fill
4,hashdigest,9cd51d1d41474a3b586df3c436e085dd,{'type': 'md5'},,,,,,md5,,,,,,
4,hashdigest,4914289c80cc81b13c0b4cfa7eeb72182116e876,{'type': 'sha1'},,,,,,sha1,,,,,,
5,fileobject,,"{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}deleted_file': '1', '{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_file': '1'}",,,,,,,1,1,,,,
5,parent_object,,{},,,,,,,,,,,,
5,inode,92206,{},,,,,,,,,,,,
5,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IV92SM5.GIF,{},,,,,,,,,,,,
5,partition,1,{},,,,,,,,,,,,
5,id,43,{},,,,,,,,,,,,
5,name_type,-,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
5,filesize,94,{},,,,,,,,,,,,
5,alloc,0,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
5,used,1,{},,,,,,,,,,,,
5,inode,89390,{},,,,,,,,,,,,
5,meta_type,1,{},,,,,,,,,,,,
5,mode,511,{},,,,,,,,,,,,
5,nlink,1,{},,,,,,,,,,,,
5,uid,0,{},,,,,,,,,,,,
5,gid,0,{},,,,,,,,,,,,
5,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,seq,3,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
5,byte_runs,,{},,,,,,,,,,,,
5,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
5,hashdigest,e2aaba0babb74eef3066ec6d51c76e5b,{'type': 'md5'},,,,,,md5,,,,,,
5,hashdigest,6059c8b9e9edf6e5a6ad704c0efcbc8b9ae40bed,{'type': 'sha1'},,,,,,sha1,,,,,,
5,original_fileobject,,{},,,,,,,,,,,,
5,parent_object,,{},,,,,,,,,,,,
5,inode,92206,{},,,,,,,,,,,,
5,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IV92SM5.GIF,{},,,,,,,,,,,,
5,partition,1,{},,,,,,,,,,,,
5,id,48,{},,,,,,,,,,,,
5,name_type,r,{},,,,,,,,,,,,
5,filesize,94,{},,,,,,,,,,,,
5,alloc,1,{},,,,,,,,,,,,
5,used,1,{},,,,,,,,,,,,
5,inode,89390,{},,,,,,,,,,,,
5,meta_type,1,{},,,,,,,,,,,,
5,mode,511,{},,,,,,,,,,,,
5,nlink,1,{},,,,,,,,,,,,
5,uid,0,{},,,,,,,,,,,,
5,gid,0,{},,,,,,,,,,,,
5,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
5,seq,2,{},,,,,,,,,,,,
5,byte_runs,,{},,,,,,,,,,,,
5,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
5,hashdigest,e2aaba0babb74eef3066ec6d51c76e5b,{'type': 'md5'},,,,,,md5,,,,,,
5,hashdigest,6059c8b9e9edf6e5a6ad704c0efcbc8b9ae40bed,{'type': 'sha1'},,,,,,sha1,,,,,,
6,fileobject,,"{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}deleted_file': '1', '{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_file': '1'}",,,,,,,1,1,,,,
6,parent_object,,{},,,,,,,,,,,,
6,inode,92206,{},,,,,,,,,,,,
6,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$ISRJ7WL.JPG,{},,,,,,,,,,,,
6,partition,1,{},,,,,,,,,,,,
6,id,44,{},,,,,,,,,,,,
6,name_type,-,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
6,filesize,94,{},,,,,,,,,,,,
6,alloc,0,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
6,used,1,{},,,,,,,,,,,,
6,inode,89391,{},,,,,,,,,,,,
6,meta_type,1,{},,,,,,,,,,,,
6,mode,511,{},,,,,,,,,,,,
6,nlink,1,{},,,,,,,,,,,,
6,uid,0,{},,,,,,,,,,,,
6,gid,0,{},,,,,,,,,,,,
6,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,seq,3,{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_property': '1'},,,,,,,,,1,,,
6,byte_runs,,{},,,,,,,,,,,,
6,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
6,hashdigest,a8676c73313ab6bb8b6590a139f58a5a,{'type': 'md5'},,,,,,md5,,,,,,
6,hashdigest,fb4643da40238b6b9edd48042422e1277a9ab495,{'type': 'sha1'},,,,,,sha1,,,,,,
6,original_fileobject,,{},,,,,,,,,,,,
6,parent_object,,{},,,,,,,,,,,,
6,inode,92206,{},,,,,,,,,,,,
6,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$ISRJ7WL.JPG,{},,,,,,,,,,,,
6,partition,1,{},,,,,,,,,,,,
6,id,46,{},,,,,,,,,,,,
6,name_type,r,{},,,,,,,,,,,,
6,filesize,94,{},,,,,,,,,,,,
6,alloc,1,{},,,,,,,,,,,,
6,used,1,{},,,,,,,,,,,,
6,inode,89391,{},,,,,,,,,,,,
6,meta_type,1,{},,,,,,,,,,,,
6,mode,511,{},,,,,,,,,,,,
6,nlink,1,{},,,,,,,,,,,,
6,uid,0,{},,,,,,,,,,,,
6,gid,0,{},,,,,,,,,,,,
6,mtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,ctime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,atime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,crtime,2021-06-06T20:11:52Z,{},,,,,,,,,,,,
6,seq,2,{},,,,,,,,,,,,
6,byte_runs,,{},,,,,,,,,,,,
6,byte_run,,"{'fs_offset': '0', 'type': 'resident', 'len': '94', 'img_offset': '1048576', 'file_offset': '0'}",,0,0,1048576,94,resident,,,,,,
6,hashdigest,a8676c73313ab6bb8b6590a139f58a5a,{'type': 'md5'},,,,,,md5,,,,,,
6,hashdigest,fb4643da40238b6b9edd48042422e1277a9ab495,{'type': 'sha1'},,,,,,sha1,,,,,,
7,fileobject,,"{'{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}deleted_file': '1', '{http://www.forensicswiki.org/wiki/Forensic_Disk_Differencing}changed_file': '1'}",,,,,,,1,1,,,,
7,parent_object,,{},,,,,,,,,,,,
7,inode,92206,{},,,,,,,,,,,,
7,filename,$Recycle.Bin/S-1-5-21-2194026162-3461440824-2270842366-1000/$IFKNKJJ.GIF,{},,,,,,,,,,,,
7,partition,1,{},,,,,,,,,,,,
7,id,45,{},,,,,,,,,,,,
